Value,Count,WHRALL,LIFE_FORM,WHRNUM,WHRNAME,WHRTYPE,WHRSIZE,WHRDENSITY,WHR10NUM,WHR10NAME,WHR13NUM,WHR13NAME,SOURCE_NAM,SOURCE_YEA
11,32352.00000000000,MRIXX,SHRUB,37,Montane Riparian,MRI,X,X,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
12,300223.00000000000,KMC4M,CONIFER,27,Klamath Mixed Conifer,KMC,4,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
13,80019.00000000000,PGSXX,HERBACEOUS,39,Perennial Grassland,PGS,X,X,60.00000000000,Herbaceous,60,Herbaceous,CALVEG-NorthCoastNE,2007
14,16688.00000000000,RFR3D,CONIFER,45,Red Fir,RFR,3,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
15,1197616.00000000000,MCPXX,SHRUB,34,Montane Chaparral,MCP,X,X,70.00000000000,Shrub,70,Shrub,CALVEG-NorthCoastNE,2007
16,24567.00000000000,RFR3P,CONIFER,45,Red Fir,RFR,3,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
17,8303.00000000000,RFR3S,CONIFER,45,Red Fir,RFR,3,S,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
18,28432.00000000000,RFR3M,CONIFER,45,Red Fir,RFR,3,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
19,54580.00000000000,RFR5M,CONIFER,45,Red Fir,RFR,5,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
20,189109.00000000000,KMC3D,CONIFER,27,Klamath Mixed Conifer,KMC,3,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
21,49724.00000000000,KMC3P,CONIFER,27,Klamath Mixed Conifer,KMC,3,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
22,48994.00000000000,RFR4P,CONIFER,45,Red Fir,RFR,4,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
23,12578.00000000000,RFR4S,CONIFER,45,Red Fir,RFR,4,S,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
24,38523.00000000000,SCN4M,CONIFER,48,Subalpine Conifer,SCN,4,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
25,10498.00000000000,RFR5P,CONIFER,45,Red Fir,RFR,5,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
26,292860.00000000000,BARXX,BARREN/OTHER,6,Barren,BAR,X,X,20.00000000000,Barren/Other,20,Barren/Other,CALVEG-NorthCoastNE,2007
27,16786.00000000000,WTMXX,HERBACEOUS,59,Wet Meadow,WTM,X,X,100.00000000000,Wetland,100,Wetland,CALVEG-NorthCoastNE,2007
28,467479.00000000000,AGSXX,HERBACEOUS,3,Annual Grassland,AGS,X,X,60.00000000000,Herbaceous,60,Herbaceous,CALVEG-NorthCoastNE,2007
29,16160.00000000000,SCN4S,CONIFER,48,Subalpine Conifer,SCN,4,S,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
30,23905.00000000000,URBXX,URBAN,53,Urban,URB,X,X,80.00000000000,Urban,80,Urban,CALVEG-NorthCoastNE,2007
31,17737.00000000000,SCN3P,CONIFER,48,Subalpine Conifer,SCN,3,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
32,15911.00000000000,SCN3S,CONIFER,48,Subalpine Conifer,SCN,3,S,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
33,3511.00000000000,RFR2S,CONIFER,45,Red Fir,RFR,2,S,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
34,29006.00000000000,SCN4P,CONIFER,48,Subalpine Conifer,SCN,4,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
35,206124.00000000000,WFR4D,CONIFER,58,White Fir,WFR,4,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
36,5598.00000000000,RFR2P,CONIFER,45,Red Fir,RFR,2,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
37,116386.00000000000,KMC3M,CONIFER,27,Klamath Mixed Conifer,KMC,3,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
38,4053.00000000000,RFR2M,CONIFER,45,Red Fir,RFR,2,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
39,161817.00000000000,DFR4M,CONIFER,14,Douglas Fir,DFR,4,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
40,132445.00000000000,WFR4M,CONIFER,58,White Fir,WFR,4,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
41,110832.00000000000,MHW4M,HARDWOOD,36,Montane Hardwood,MHW,4,M,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
42,16065.00000000000,MHW4P,HARDWOOD,36,Montane Hardwood,MHW,4,P,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
43,400492.00000000000,MHW3D,HARDWOOD,36,Montane Hardwood,MHW,3,D,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
44,58547.00000000000,MHC3M,CONIFER,35,Montane Hardwood-Conifer,MHC,3,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
45,380976.00000000000,MHW4D,HARDWOOD,36,Montane Hardwood,MHW,4,D,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
46,77105.00000000000,DFR3M,CONIFER,14,Douglas Fir,DFR,3,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
47,149798.00000000000,DFR3D,CONIFER,14,Douglas Fir,DFR,3,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
48,575653.00000000000,MHC4D,CONIFER,35,Montane Hardwood-Conifer,MHC,4,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
49,673147.00000000000,DFR4D,CONIFER,14,Douglas Fir,DFR,4,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
50,38658.00000000000,WFR3D,CONIFER,58,White Fir,WFR,3,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
51,1104.00000000000,SCN2M,CONIFER,48,Subalpine Conifer,SCN,2,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
52,1244.00000000000,SCN2P,CONIFER,48,Subalpine Conifer,SCN,2,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
53,65305.00000000000,DFR5M,CONIFER,14,Douglas Fir,DFR,5,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
54,113833.00000000000,KMC5M,CONIFER,27,Klamath Mixed Conifer,KMC,5,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
55,195367.00000000000,DFR3D,CONIFER,14,Douglas Fir,DFR,3,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
56,140468.00000000000,MHC4M,CONIFER,35,Montane Hardwood-Conifer,MHC,4,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
57,195116.00000000000,MHC3D,CONIFER,35,Montane Hardwood-Conifer,MHC,3,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
58,29662.00000000000,KMC2D,CONIFER,27,Klamath Mixed Conifer,KMC,2,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
59,71922.00000000000,KMC4P,CONIFER,27,Klamath Mixed Conifer,KMC,4,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
60,29224.00000000000,WFR3M,CONIFER,58,White Fir,WFR,3,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
61,70530.00000000000,DFR4M,CONIFER,14,Douglas Fir,DFR,4,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
62,17617.00000000000,WFR3P,CONIFER,58,White Fir,WFR,3,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
63,43546.00000000000,DFR3M,CONIFER,14,Douglas Fir,DFR,3,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
64,45812.00000000000,WFR4P,CONIFER,58,White Fir,WFR,4,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
65,218.00000000000,PGSXX,HERBACEOUS,39,Perennial Grassland,PGS,X,X,60.00000000000,Herbaceous,60,Herbaceous,CALVEG-NorthCoastNE/CALFIRE update,2007
66,23.00000000000,RFR4P,CONIFER,45,Red Fir,RFR,4,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
67,3610.00000000000,WFR2D,CONIFER,58,White Fir,WFR,2,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
68,14877.00000000000,KMC2P,CONIFER,27,Klamath Mixed Conifer,KMC,2,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
69,26530.00000000000,KMC2M,CONIFER,27,Klamath Mixed Conifer,KMC,2,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
70,4.00000000000,RFR4M,CONIFER,45,Red Fir,RFR,4,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
71,2157.00000000000,AGSXX,HERBACEOUS,3,Annual Grassland,AGS,X,X,60.00000000000,Herbaceous,60,Herbaceous,CALVEG-NorthCoastNE/CALFIRE update,2007
72,16691.00000000000,KMC4S,CONIFER,27,Klamath Mixed Conifer,KMC,4,S,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
73,61988.00000000000,WFR5M,CONIFER,58,White Fir,WFR,5,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
74,28085.00000000000,DFR2D,CONIFER,14,Douglas Fir,DFR,2,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
75,15957.00000000000,MHC2M,CONIFER,35,Montane Hardwood-Conifer,MHC,2,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
76,779228.00000000000,MCHXX,SHRUB,32,Mixed Chaparral,MCH,X,X,70.00000000000,Shrub,70,Shrub,CALVEG-NorthCoastNE,2007
77,8095.00000000000,WFR5P,CONIFER,58,White Fir,WFR,5,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
78,18.00000000000,JUN5D,CONIFER,26,Juniper,JUN,5,D,30.00000000000,Conifer,32,Conifer Woodland,CALVEG-NorthCoastNE,2007
79,15742.00000000000,JUN4M,CONIFER,26,Juniper,JUN,4,M,30.00000000000,Conifer,32,Conifer Woodland,CALVEG-NorthCoastNE,2007
80,25663.00000000000,MHC2D,CONIFER,35,Montane Hardwood-Conifer,MHC,2,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
81,16324.00000000000,SCN4D,CONIFER,48,Subalpine Conifer,SCN,4,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
82,13205.00000000000,KMC3S,CONIFER,27,Klamath Mixed Conifer,KMC,3,S,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
83,6193.00000000000,JUN4D,CONIFER,26,Juniper,JUN,4,D,30.00000000000,Conifer,32,Conifer Woodland,CALVEG-NorthCoastNE,2007
84,134355.00000000000,PPN4D,CONIFER,42,Ponderosa Pine,PPN,4,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
85,11155.00000000000,DFR2M,CONIFER,14,Douglas Fir,DFR,2,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
86,9341.00000000000,SCN3M,CONIFER,48,Subalpine Conifer,SCN,3,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
87,6502.00000000000,DFR4S,CONIFER,14,Douglas Fir,DFR,4,S,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
88,46651.00000000000,PPN5D,CONIFER,42,Ponderosa Pine,PPN,5,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
89,226650.00000000000,LACXX,WATER,28,Lacustrine,LAC,X,X,90.00000000000,Water,90,Water,CALVEG-NorthCoastNE,2007
90,29350.00000000000,DFR4P,CONIFER,14,Douglas Fir,DFR,4,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
91,32992.00000000000,DFR3P,CONIFER,14,Douglas Fir,DFR,3,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
92,72419.00000000000,MHW3P,HARDWOOD,36,Montane Hardwood,MHW,3,P,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
93,1747.00000000000,SCN3D,CONIFER,48,Subalpine Conifer,SCN,3,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
94,38665.00000000000,PPN3D,CONIFER,42,Ponderosa Pine,PPN,3,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
95,7358.00000000000,PPN2P,CONIFER,42,Ponderosa Pine,PPN,2,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
96,189053.00000000000,MHW3M,HARDWOOD,36,Montane Hardwood,MHW,3,M,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
97,1798.00000000000,WFR5S,CONIFER,58,White Fir,WFR,5,S,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
98,4203.00000000000,PPN2D,CONIFER,42,Ponderosa Pine,PPN,2,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
99,10452.00000000000,WFR4S,CONIFER,58,White Fir,WFR,4,S,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
100,6425.00000000000,PPN2M,CONIFER,42,Ponderosa Pine,PPN,2,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
101,6427.00000000000,WFR2M,CONIFER,58,White Fir,WFR,2,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
102,22402.00000000000,MHW2P,HARDWOOD,36,Montane Hardwood,MHW,2,P,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
103,5075.00000000000,WFR3S,CONIFER,58,White Fir,WFR,3,S,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
104,42058.00000000000,MHC3P,CONIFER,35,Montane Hardwood-Conifer,MHC,3,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
105,5492.00000000000,WFR2P,CONIFER,58,White Fir,WFR,2,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
106,39481.00000000000,MHC4P,CONIFER,35,Montane Hardwood-Conifer,MHC,4,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
107,2343.00000000000,PPN2S,CONIFER,42,Ponderosa Pine,PPN,2,S,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
108,5426.00000000000,PPN3S,CONIFER,42,Ponderosa Pine,PPN,3,S,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
109,8497.00000000000,MHC2P,CONIFER,35,Montane Hardwood-Conifer,MHC,2,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
110,36367.00000000000,MHW2M,HARDWOOD,36,Montane Hardwood,MHW,2,M,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
111,7259.00000000000,KMC2S,CONIFER,27,Klamath Mixed Conifer,KMC,2,S,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
112,34851.00000000000,PPN3P,CONIFER,42,Ponderosa Pine,PPN,3,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
113,47578.00000000000,MHW2D,HARDWOOD,36,Montane Hardwood,MHW,2,D,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
114,35004.00000000000,PPN3M,CONIFER,42,Ponderosa Pine,PPN,3,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
115,20286.00000000000,MHW3S,HARDWOOD,36,Montane Hardwood,MHW,3,S,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
116,6853.00000000000,MHW2S,HARDWOOD,36,Montane Hardwood,MHW,2,S,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
117,84819.00000000000,PPN4M,CONIFER,42,Ponderosa Pine,PPN,4,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
118,356.00000000000,MCHXX,SHRUB,32,Mixed Chaparral,MCH,X,X,70.00000000000,Shrub,70,Shrub,CALVEG-NorthCoastNE/CALFIRE update,2007
119,14627.00000000000,PPN4P,CONIFER,42,Ponderosa Pine,PPN,4,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
120,17.00000000000,MHC4D,CONIFER,35,Montane Hardwood-Conifer,MHC,4,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
121,1183.00000000000,MHW4D,HARDWOOD,36,Montane Hardwood,MHW,4,D,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
122,8212.00000000000,DFR2P,CONIFER,14,Douglas Fir,DFR,2,P,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
123,14477.00000000000,DFR2D,CONIFER,14,Douglas Fir,DFR,2,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
124,36.00000000000,MHC5D,CONIFER,35,Montane Hardwood-Conifer,MHC,5,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
125,196273.00000000000,MHC5D,CONIFER,35,Montane Hardwood-Conifer,MHC,5,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
126,3870.00000000000,KMC5S,CONIFER,27,Klamath Mixed Conifer,KMC,5,S,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
127,26613.00000000000,SCN5D,CONIFER,48,Subalpine Conifer,SCN,5,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
128,21621.00000000000,SCN5M,CONIFER,48,Subalpine Conifer,SCN,5,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
129,9102.00000000000,MHW4S,HARDWOOD,36,Montane Hardwood,MHW,4,S,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
130,20.00000000000,RDW4M,CONIFER,44,Redwood,RDW,4,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2009
131,366.00000000000,RDW4D,CONIFER,44,Redwood,RDW,4,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,1998
132,13.00000000000,BARXX,BARREN/OTHER,6,Barren,BAR,X,X,20.00000000000,Barren/Other,20,Barren/Other,CALVEG-NorthCoastNW,2008
133,10.00000000000,RDW3M,CONIFER,44,Redwood,RDW,3,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2009
134,69.00000000000,URBXX,URBAN,53,Urban,URB,X,X,80.00000000000,Urban,80,Urban,CALVEG-NorthCoastNW,1998
135,281.00000000000,URBXX,URBAN,53,Urban,URB,X,X,80.00000000000,Urban,80,Urban,CALVEG-NorthCoastNW,2009
136,10152.00000000000,PASXX,HERBACEOUS,72,Pasture,PAS,X,X,60.00000000000,Herbaceous,60,Herbaceous,CALVEG-NorthCoastNW,1998
137,615.00000000000,PASXX,HERBACEOUS,72,Pasture,PAS,X,X,60.00000000000,Herbaceous,60,Herbaceous,CALVEG-NorthCoastNW,2009
138,22847.00000000000,MHW5D,HARDWOOD,36,Montane Hardwood,MHW,5,D,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
139,1280.00000000000,PASXX,HERBACEOUS,72,Pasture,PAS,X,X,60.00000000000,Herbaceous,60,Herbaceous,CALVEG-NorthCoastNW,1994
140,167831.00000000000,PASXX,HERBACEOUS,72,Pasture,PAS,X,X,60.00000000000,Herbaceous,60,Herbaceous,CALVEG-NorthCoastNW,2007
141,27579.00000000000,MHC5M,CONIFER,35,Montane Hardwood-Conifer,MHC,5,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
142,524302.00000000000,MHC5D,CONIFER,35,Montane Hardwood-Conifer,MHC,5,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
143,156507.00000000000,CSCXX,SHRUB,13,Coastal Scrub,CSC,X,X,70.00000000000,Shrub,70,Shrub,CALVEG-NorthCoastNW,2007
144,277.00000000000,RDW5D,CONIFER,44,Redwood,RDW,5,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,1998
145,666806.00000000000,RDW5D,CONIFER,44,Redwood,RDW,5,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
146,362958.00000000000,RDW4D,CONIFER,44,Redwood,RDW,4,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
147,878011.00000000000,MHC4D,CONIFER,35,Montane Hardwood-Conifer,MHC,4,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
148,19316.00000000000,DFR2M,CONIFER,14,Douglas Fir,DFR,2,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
149,92271.00000000000,MRI4D,HARDWOOD,37,Montane Riparian,MRI,4,D,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNW,2007
150,66.00000000000,CSCXX,SHRUB,13,Coastal Scrub,CSC,X,X,70.00000000000,Shrub,70,Shrub,CALVEG-NorthCoastNW,1998
151,106076.00000000000,MHC5D,CONIFER,35,Montane Hardwood-Conifer,MHC,5,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,1998
152,1162702.00000000000,DFR4D,CONIFER,14,Douglas Fir,DFR,4,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
153,1867199.00000000000,DFR5D,CONIFER,14,Douglas Fir,DFR,5,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
154,34874.00000000000,RDW5M,CONIFER,44,Redwood,RDW,5,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
155,100.00000000000,MRI4D,HARDWOOD,37,Montane Riparian,MRI,4,D,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNW,1998
156,315354.00000000000,DFR3D,CONIFER,14,Douglas Fir,DFR,3,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
157,13.00000000000,MRI4S,HARDWOOD,37,Montane Riparian,MRI,4,S,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNW,1998
158,126091.00000000000,RDW3D,CONIFER,44,Redwood,RDW,3,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
159,9573.00000000000,DFR2S,CONIFER,14,Douglas Fir,DFR,2,S,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
160,30066.00000000000,MARXX,WATER,79,Marsh,MAR,X,X,90.00000000000,Water,90,Water,CALVEG-NorthCoastNW,2007
161,492402.00000000000,AGSXX,HERBACEOUS,3,Annual Grassland,AGS,X,X,60.00000000000,Herbaceous,60,Herbaceous,CALVEG-NorthCoastNW,2007
162,51.00000000000,MRI5D,HARDWOOD,37,Montane Riparian,MRI,5,D,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNW,1998
163,342527.00000000000,MHC3D,CONIFER,35,Montane Hardwood-Conifer,MHC,3,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
164,19891.00000000000,MHW1D,HARDWOOD,36,Montane Hardwood,MHW,1,D,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNW,2007
165,119932.00000000000,BARXX,BARREN/OTHER,6,Barren,BAR,X,X,20.00000000000,Barren/Other,20,Barren/Other,CALVEG-NorthCoastNW,2007
166,5904.00000000000,MRI4S,HARDWOOD,37,Montane Riparian,MRI,4,S,50.00000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNW,2007
